2026-05-10 20:48:59 | DEBUG    | main | Запуск скрипта
2026-05-10 20:48:59 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:48:59 | INFO     | main | Данные записаны в файл /home/swaga/py/utility/reports.json
2026-05-10 20:48:59 | DEBUG    | main | Конец работы
2026-05-10 20:49:48 | DEBUG    | main | Запуск скрипта
2026-05-10 20:49:48 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:49:48 | INFO     | main | Данные записаны в файл /home/swaga/py/utility/reports.json
2026-05-10 20:49:48 | DEBUG    | main | Конец работы
2026-05-10 20:50:04 | DEBUG    | main | Запуск скрипта
2026-05-10 20:50:04 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:50:04 | INFO     | main | Данные записаны в файл /home/swaga/py/utility/reports.json
2026-05-10 20:50:04 | DEBUG    | main | Конец работы
2026-05-10 20:50:05 | DEBUG    | main | Запуск скрипта
2026-05-10 20:50:05 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:50:05 | INFO     | main | Данные записаны в файл /home/swaga/py/utility/reports.json
2026-05-10 20:50:05 | DEBUG    | main | Конец работы
2026-05-10 20:50:05 | DEBUG    | main | Запуск скрипта
2026-05-10 20:50:05 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:50:05 | INFO     | main | Данные записаны в файл /home/swaga/py/utility/reports.json
2026-05-10 20:50:05 | DEBUG    | main | Конец работы
2026-05-10 20:50:11 | DEBUG    | main | Запуск скрипта
2026-05-10 20:50:11 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:50:11 | INFO     | main | Данные записаны в файл /home/swaga/py/utility/reports.json
2026-05-10 20:50:11 | DEBUG    | main | Конец работы
2026-05-10 20:52:30 | DEBUG    | main | Запуск скрипта
2026-05-10 20:52:30 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:52:30 | INFO     | main | Данные записаны в файл /home/swaga/py/utility/reports.json
2026-05-10 20:52:30 | DEBUG    | main | Конец работы
2026-05-10 20:52:54 | DEBUG    | main | Запуск скрипта
2026-05-10 20:52:54 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:52:54 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:52:54 | DEBUG    | main | Конец работы
2026-05-10 20:52:56 | DEBUG    | main | Запуск скрипта
2026-05-10 20:52:56 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:52:56 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:52:56 | DEBUG    | main | Конец работы
2026-05-10 20:52:58 | DEBUG    | main | Запуск скрипта
2026-05-10 20:52:58 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:52:58 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:52:58 | DEBUG    | main | Конец работы
2026-05-10 20:53:01 | DEBUG    | main | Запуск скрипта
2026-05-10 20:53:01 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:53:01 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:53:01 | DEBUG    | main | Конец работы
2026-05-10 20:53:09 | DEBUG    | main | Запуск скрипта
2026-05-10 20:53:09 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:53:09 | INFO     | main | Данные записаны в файл /home/swaga/py/utility/reports.json
2026-05-10 20:53:09 | DEBUG    | main | Конец работы
2026-05-10 20:55:54 | DEBUG    | main | Запуск скрипта
2026-05-10 20:55:54 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:55:54 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:55:54 | DEBUG    | main | Конец работы
2026-05-10 20:55:55 | DEBUG    | main | Запуск скрипта
2026-05-10 20:55:55 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:55:55 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 20:55:55 | DEBUG    | main | Конец работы
2026-05-10 20:56:00 | DEBUG    | main | Запуск скрипта
2026-05-10 20:56:00 | INFO     | main | Пытаемся прочитать файл
2026-05-10 20:56:00 | INFO     | main | Данные записаны в файл /home/swaga/py/utility/reports.json
2026-05-10 20:56:00 | DEBUG    | main | Конец работы
2026-05-10 21:00:02 | DEBUG    | main | Запуск скрипта
2026-05-10 21:00:02 | INFO     | main | Пытаемся прочитать файл
2026-05-10 21:01:15 | DEBUG    | main | Запуск скрипта
2026-05-10 21:01:15 | INFO     | main | Пытаемся прочитать файл
2026-05-10 21:02:12 | DEBUG    | main | Запуск скрипта
2026-05-10 21:02:12 | INFO     | main | Пытаемся прочитать файл
2026-05-10 21:02:12 | CRITICAL | main | Файл не найден для чтения , введите правильный путь
2026-05-10 21:02:12 | DEBUG    | main | Конец работы
2026-05-10 21:02:15 | DEBUG    | main | Запуск скрипта
2026-05-10 21:02:15 | INFO     | main | Пытаемся прочитать файл
2026-05-10 21:02:15 | INFO     | main | Данные записаны в файл /home/swaga/py/utility/reports.json
2026-05-10 21:02:15 | DEBUG    | main | Конец работы
